id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13432,Apartments in Kolymbari-1,51279,Travel & Tourism Greece,,Πλατανιά,35.53882,23.7815,Private room,50,1,1,2015-06-11,0.02,47,143
27966,Heraklion-Pinelopi Apartment,120502,Antonia & Manolis,,Μαλεβιζίου,35.33198,25.08182,Entire home/apt,39,2,439,2019-06-21,4.61,6,288
28970,artists' house in the old town,124670,Eirini,,Ηρακλείου,35.34005,25.12809,Entire home/apt,70,1,52,2017-10-16,0.48,2,23
29130,"Villa Kallergi - Athena, 10+ guests",125281,Dimitrios,,Ρεθύμνης,35.35596,24.5841,Entire home/apt,280,4,8,2019-06-17,0.13,3,323
29849,"Villa Kallergi - Nefeli, 6+ guests",125281,Dimitrios,,Ρεθύμνης,35.35441,24.58713,Entire home/apt,190,4,3,2018-08-15,0.05,3,314
29856,Matala Dimitris Villa and Hotel,128653,Dimitris,,Φαιστού,34.99333,24.75035,Private room,50,1,38,2019-05-20,0.36,2,212
30162," 2 storey Loft in Heraklion, Crete",59966,Nicole,,Ηρακλείου,35.3409,25.13154,Entire home/apt,190,2,18,2018-08-27,0.26,3,363
31023,Guesthouse Chryssoula Room No1,133208,Chryssoula,,Χανίων,35.51591,24.01751,Entire home/apt,29,2,246,2019-06-14,2.91,4,184
31789,Kissamos Windmills ,136649,Georgios,,Κισσάμου,35.49762,23.69768,Entire home/apt,200,3,2,2012-09-23,0.02,1,365
34280,Bellevue Village&Suites in Crete#1,147711,George,,Μαλεβιζίου,35.39836,25.02334,Entire home/apt,30,2,103,2019-06-23,1.39,15,39
54291,Villa for 8 persons- Asteri village near Rethymno,51279,Travel & Tourism Greece,,Ρεθύμνης,35.36809,24.59954,Entire home/apt,180,7,0,,,47,64
78955,MIRSINI Beautiful Rooms in Crete,424686,Petros,,Αγίου Νικολάου,35.19541,25.71457,Private room,29,1,105,2019-06-23,1.26,7,202
81174,ONLY 5 MIN.WALK FROM SANDY BEACH,439663,Lilian,,Αποκορώνου,35.44815,24.20058,Entire home/apt,50,2,24,2018-08-07,0.25,6,179
88239,Ag Marina Crete seaview b) 2/3 pers,482789,"V Life Aptms Agia Marina, Chania,",,Χανίων,35.51283,23.9279,Entire home/apt,55,1,46,2019-06-10,0.65,8,114
89694,2 bedrooms villa near Kissamos,51279,Travel & Tourism Greece,,Κισσάμου,35.41732,23.57061,Entire home/apt,170,7,0,,,47,52
91859,One bedroom suite - Esthisis suites,495505,Katerina & Nikolaos,,Πλατανιά,35.51547,23.90949,Private room,49,1,22,2018-12-15,0.23,7,199
99221,Family Bikakis Rooms & Apartments,522617,Yiannis,,Κισσάμου,35.49491,23.65712,Private room,45,1,7,2018-06-12,0.12,5,365
110088,LUX STUDIO/9/ POOL 19KM WEST CHANIA,566704,Dimitris,,Πλατανιά,35.53104,23.80401,Private room,70,3,12,2014-07-25,0.14,9,141
110298,"Villa AMALIA, Mirabello gulf view",567310,Elena,,Αγίου Νικολάου,35.21314,25.70999,Entire home/apt,45,4,36,2018-04-18,0.42,3,288
124210,Coral Villa near Kissamos,51279,Travel & Tourism Greece,,Κισσάμου,35.41723,23.56501,Entire home/apt,220,7,0,,,47,29
130214,8 persons villa near Chania B HAR,51279,Travel & Tourism Greece,,Πλατανιά,35.5072,23.81132,Entire home/apt,204,7,1,2015-06-13,0.02,47,31
130223,12 persons villa near Chania,51279,Travel & Tourism Greece,,Πλατανιά,35.50765,23.81176,Entire home/apt,264,7,0,,,47,41
132418,Villa in Kolympari,51279,Travel & Tourism Greece,,Πλατανιά,35.5387,23.77704,Entire home/apt,144,7,0,,,47,55
133275,PORTO KALYVES Apt Breathtaking View 04,654765,George,,Αποκορώνου,35.4571,24.16634,Private room,53,3,20,2018-07-18,0.24,5,1
136335,Villa Pelagia *CRETE* *Private Pool* 2bdrms *WiFi*,667548,Pelagia,,Ρεθύμνης,35.38348,24.62085,Entire home/apt,100,3,7,2017-10-28,0.10,3,295
136741,"Villa, Private Pool, Garden, BBQ",669281,Anastasia,,Ρεθύμνης,35.34712,24.42428,Entire home/apt,130,2,84,2019-06-23,1.18,3,261
139192,"*Palaiochora House N1, Crete*",678986,Mihalis,,Καντάνου - Σέλινου,35.23826,23.67786,Entire home/apt,75,3,25,2018-10-20,0.42,6,273
141647,Valentino Apartments (apartment 3),688758,Kostis,,Μυλοποτάμου,35.4104,24.78245,Entire home/apt,29,3,27,2019-05-12,0.28,7,280
143328,apartment 5,695521,Ageliki,,Φαιστού,35.03679,24.79455,Entire home/apt,112,2,14,2019-06-07,0.56,1,189
143616,"Villa MINOOS,old harbour Chania",696551,Lena,,Χανίων,35.51555,24.02192,Entire home/apt,115,3,18,2017-08-04,0.21,16,348
147225,"Kavousi Villa, come all year round",688758,Kostis,,Ρεθύμνης,35.3096,24.6097,Entire home/apt,100,3,20,2018-08-23,0.24,7,205
149874,budget studio near to the sea!,722460,George,,Ηρακλείου,35.32066,25.19088,Entire home/apt,20,1,97,2019-06-10,1.01,2,265
160516,Olive  Tree Cottages 3+4+5,768933,Georgia,,Καντάνου - Σέλινου,35.25587,23.68852,Entire home/apt,85,3,2,2012-09-24,0.02,4,356
166308,"Craft Deco Studio by the Sea in Kalyves, Crete!",792863,Lia,,Αποκορώνου,35.45018,24.17858,Entire home/apt,29,6,14,2019-06-01,0.19,5,296
173307,Kissamos Hospitality,827387,Katerina,,Κισσάμου,35.48202,23.68748,Private room,31,1,63,2019-06-13,1.75,1,83
186764,Apt2 @ Mamangakis Apartments,897791,Costa,,Ρεθύμνης,35.36422,24.45498,Private room,34,2,118,2019-06-19,1.42,4,317
187725,Apt3 @ Mamangakis Apartments,897791,Costa,,Ρεθύμνης,35.36281,24.45568,Private room,30,2,106,2019-06-20,1.26,4,283
